"Bykov_Iyun" "Bykov_Sto_Nochey" "Dubovitsky_Mashinka" "Dubovitsky_Okolonolya" "Erofeev_Akimudy" "Erofeev_Apokalipsis" "Sorokin_Istoria" "Sorokin_Manaraga" "Sorokin_Oprichnik" "Sorokin_Salo"
"о" 0.346658214809239 0.691520735452641 0.360315066197419 0.277713975485999 0.589745080612338 0.364050777169268 0.291524953147775 0.194527298664246 0.170541244053496 0.126558418827584
"за" 0.360524543401608 0.225083219774781 0.429445282386459 0.561692175982961 0.495884243838825 0.356136629839501 0.284583882834733 0.453897030216574 0.526583490410795 0.492770013732935
"она" 0.748781743987956 0.26169314106345 0.193774090832914 0.233864400409263 0.579777558123115 0.413118490613821 0.222114250017353 0.329399559071456 0.260299793555336 0.232921345289065
"так" 0.477397884394438 0.338980752672863 0.538377744260097 0.526194900920841 0.255833077223381 0.250087055620627 0.201291039078226 0.306056283231747 0.362026149657422 0.249077739181948
"от" 0.3189255576245 0.253557602999302 0.426302999832412 0.421791150738135 0.358830809612014 0.398873025420241 0.315818699243423 0.306056283231747 0.376985907907728 0.254463203812909
"ты" 0.45956974763282 0.100338302791168 0.337271660801073 0.405086550708901 0.48923922884601 0.324480040520434 0.159644617199972 0.256776034236805 0.185501002303803 0.385060721113714
"было" 0.941919892238818 0.254913526009993 0.368694486341545 0.309035100540811 0.1760928973096 0.150368799265567 0.263760671895606 0.15043444430035 0.0747987912515334 0.150793009666909
"же" 0.386276296501723 0.309828407942997 0.488101223395341 0.457288425800255 0.196027942288045 0.254835544018487 0.239466925799958 0.290494099338607 0.176525147353619 0.255809569970649
"мы" 0.242660750366467 0.23321875783893 0.151876990112284 0.133636800233864 0.554858751900059 0.373547753964988 0.24293746095648 0.277525612760991 0.362026149657422 0.224843148342623
"мне" 0.154510518600689 0.38237028901499 0.131975867269985 0.223424025390992 0.416144063925044 0.278577986007788 0.277642812521691 0.363117624173259 0.275259551805643 0.216764951396182
"они" 0.367457707697793 0.202032528593026 0.216817496229261 0.148253325259443 0.41863594454735 0.324480040520434 0.225584785173874 0.344961742964596 0.203452712204171 0.201954923661039
"бы" 0.512063705875362 0.311184330953688 0.277568292274175 0.290242425507924 0.183568539176517 0.305486086928994 0.187408898452141 0.145247049669304 0.071806839601472 0.10501656030374
"вот" 0.282278832058952 0.446776632022834 0.354030501089325 0.283978200496962 0.135392180478607 0.0965525974231536 0.128409800791282 0.153028141615873 0.278251503455704 0.150793009666909
"был" 0.519987322213858 0.26643887160087 0.224149488855371 0.254745150445804 0.220946748511101 0.188356706448447 0.249878531269522 0.186746206717676 0.053855129701104 0.141368446562727
"меня" 0.147577354304505 0.205422336119755 0.138260432378079 0.204631350358105 0.393717138324293 0.174111241254867 0.239466925799958 0.485021398002853 0.332106633156808 0.172334868190753
"когда" 0.2535557228319 0.330167253103369 0.134070722306016 0.187926750328872 0.219285494762898 0.227927443097281 0.190879433608662 0.168590325509013 0.119678066002453 0.181759431294935
"только" 0.275345667762767 0.197964759560952 0.261856879503938 0.271449750475037 0.188552300421128 0.237424419893001 0.190879433608662 0.254182336921281 0.143613679202944 0.162910305086571
"да" 0.259498435085773 0.143049877627948 0.266046589576001 0.204631350358105 0.156157852331154 0.0949697679572003 0.131880335947803 0.16599662819349 0.655237411363432 0.319088779384441
"для" 0.207004476843231 0.275252371170365 0.188536953242836 0.242216700423879 0.177754151057803 0.264332520814207 0.291524953147775 0.215276877188432 0.149597582503067 0.130597517300805
"вы" 0.171348203319995 0.191185144507495 0.182252388134741 0.229688250401954 0.364645197730727 0.106049574218874 0.0798223085999861 0.108935287251978 0.110702211052269 0.185798529768156
"до" 0.171348203319995 0.147117646660023 0.257667169431875 0.28815435050427 0.201842330406758 0.262749691348254 0.135350871104324 0.127091168460641 0.155581485803189 0.168295769717532
"уже" 0.367457707697793 0.143049877627948 0.227291771409418 0.181662525317909 0.14535970296783 0.170945582322961 0.138821406260845 0.243807547659188 0.149597582503067 0.117133855723403
"очень" 0.17828136761618 0.577623202554559 0.113122171945701 0.0897872251571276 0.0456844780756037 0.0459020545126468 0.0937044492260707 0.114122681883024 0.0239356132004907 0.118480221881143
"есть" 0.14559645021988 0.368133097402729 0.165493547846489 0.127372575222902 0.147020956716034 0.229510272563234 0.156174082043451 0.111528984567501 0.0957424528019627 0.0861674340953766
"нет" 0.191157244166237 0.187795336980766 0.209485503603151 0.194190975339834 0.191044181043433 0.148785969799614 0.0485874921912959 0.197120995979769 0.131645872602699 0.200608557503299
"их" 0.161443682896874 0.125422878488959 0.205295793531088 0.169134075295985 0.201011703532656 0.215264807369654 0.218643714860832 0.228245363766049 0.17951709900368 0.160217572771091
"там" 0.199080860504734 0.271862563643636 0.207390648567119 0.183750600321564 0.151174091086543 0.110798062616734 0.0937044492260707 0.0829983140967449 0.119678066002453 0.103670194146
"если" 0.255536626916525 0.159320953756246 0.183299815652757 0.202543275354451 0.180246031680109 0.288074962803508 0.0832928437565073 0.0726235248346518 0.026927564850552 0.0794356033066753
"или" 0.154510518600689 0.193219029023532 0.237766046589576 0.219247875383684 0.161972240449868 0.196270853778214 0.208232109391268 0.121903773829594 0.0478712264009814 0.0834747017798961
"ее" 0.319916009666812 0.000677961505345726 0.00418971007206301 0 0.29985630155078 0.288074962803508 0.222114250017353 0.212683179872909 0.191484905603925 0.231574979131325
"ему" 0.358543639316984 0.147117646660023 0.190631808278867 0.123196425215594 0.120440896744773 0.10446674475292 0.0867633789130284 0.129684865776164 0.0957424528019627 0.152139375824649
"всё" 0.0574462184541025 0.390505827079138 0.418971007206301 0.32365162556639 0.00581438811871319 0.00949697679572003 0.00347053515652114 0 0 0.0134636615774026
"потому" 0.257517531001149 0.399319326648633 0.0953159041394336 0.0897872251571276 0.0797401799137809 0.0728101554338536 0.0416464218782536 0.0207495785241862 0.035903419800736 0.0255809569970649
"ну" 0.14064419000832 0.162032799777629 0.185394670688788 0.169134075295985 0.184399166050618 0.098135426889107 0.052058027347817 0.0674361302036052 0.185501002303803 0.152139375824649
"ни" 0.184224079870053 0.124744916983614 0.211580358639182 0.215071725376376 0.143698449219626 0.155117287663427 0.124939265634761 0.0726235248346518 0.0927505011519014 0.10232382798826
"него" 0.219880353393289 0.204066413109064 0.150829562594268 0.104403750182707 0.107981493633245 0.0743929848998069 0.0728812382869438 0.106341589936454 0.104718307752147 0.121172954196623
"сказал" 0.338734598470742 0.0976264567697846 0.0911261940673705 0.0689064751205863 0.288227525313354 0.0759758143657602 0.0347053515652114 0.018155881208663 0.0149597582503067 0.0430837170476883
"даже" 0.230775325858722 0.155253184724171 0.169683257918552 0.144077175252135 0.112134628003754 0.145620310867707 0.104116054695634 0.0855920114122682 0.0568470813511654 0.0700110402024935
"была" 0.358543639316984 0.127456763004997 0.102647896765544 0.15660562527406 0.111304001129653 0.098135426889107 0.114527660165197 0.093373103358838 0.017951709900368 0.0632792094137922
"кто" 0.156491422685314 0.105084033328588 0.173872967990615 0.146165250255789 0.186060419798822 0.14720314033366 0.135350871104324 0.0752172221501751 0.101726356102085 0.0740501386757142
"где" 0.12677786141595 0.159320953756246 0.163398692810458 0.248480925434842 0.115457135500162 0.134540504606034 0.149233011730409 0.106341589936454 0.0568470813511654 0.0659719417292727
"еще" 0.345667762766927 0 0.00837942014412603 0 0.182737912302415 0.227927443097281 0.145762476573888 0.184152509402153 0.161565389103312 0.165603037402052
"ли" 0.122816053246702 0.140338031606565 0.218912351265292 0.152429475266752 0.165294747946275 0.12820918674222 0.0659401679739016 0.0389054597328492 0.0747987912515334 0.0484691816786493
"быть" 0.208985380927855 0.199998644076989 0.113122171945701 0.0876991501534735 0.111304001129653 0.14720314033366 0.0555285625043382 0.046686551679419 0.0777907429015947 0.0430837170476883
"чтобы" 0.196109504377798 0.113219571392736 0.0921736215853863 0.139901025244827 0.14535970296783 0.148785969799614 0.111057125008676 0.124497471145117 0.107710259402208 0.072703772517974
"во" 0.0960738481042748 0.180337760421963 0.0879839115133233 0.127372575222902 0.115457135500162 0.134540504606034 0.145762476573888 0.106341589936454 0.143613679202944 0.118480221881143
"может" 0.207004476843231 0.197286798055606 0.120454164571812 0.104403750182707 0.0830626874101885 0.107632403684827 0.0971749843825918 0.0622487355725587 0.0418873231008587 0.0605864770983117
"чем" 0.216908997266352 0.113897532898082 0.089031339031339 0.0897872251571276 0.137884061100913 0.205767830573934 0.0902339140695495 0.064842432888082 0.080782694551656 0.072703772517974
"со" 0.101026108315835 0.0786435346201043 0.0932210491034021 0.0918753001607818 0.177754151057803 0.120295039412454 0.176997292982578 0.140059655038257 0.164557340753373 0.189837628241377
"нас" 0.0752743552157205 0.0732198425773385 0.0816993464052288 0.0709945501242405 0.19851982291035 0.226344613631327 0.176997292982578 0.160809233562443 0.2243963737546 0.0996310956727792
"под" 0.102016560358147 0.0928807262323645 0.11835930953578 0.169134075295985 0.117949016122468 0.0949697679572003 0.197820503921705 0.145247049669304 0.185501002303803 0.169642135875273
"себя" 0.185214531912365 0.0996603412858218 0.102647896765544 0.108579900190015 0.155327225457052 0.155117287663427 0.111057125008676 0.0907794060433147 0.0777907429015947 0.078089237148935
"теперь" 0.361514995443921 0.056948766449041 0.134070722306016 0.133636800233864 0.0614663886835395 0.0759758143657602 0.0694107031304227 0.0985604979898846 0.125661969302576 0.0578937447828311
"надо" 0.211956737054792 0.138304147090528 0.128833584715938 0.0835230001461652 0.0814014336619847 0.0807243027636202 0.12146873047824 0.101154195305408 0.0418873231008587 0.0753965048334545
"были" 0.205023572758607 0.110507725371353 0.109979889391654 0.129460650226556 0.112134628003754 0.0775586438317136 0.117998195321719 0.0959668006743613 0.026927564850552 0.072703772517974
"ничего" 0.280297927974328 0.0922027647270188 0.14559242500419 0.0897872251571276 0.0764176724173734 0.0648960081040869 0.0624696328173804 0.0518739463104656 0.0867665978517787 0.0686646740447532
"без" 0.125787409373638 0.086779072684253 0.158161555220379 0.177486375310601 0.104658986136837 0.0902212795593403 0.104116054695634 0.13487226040721 0.0987344044520241 0.072703772517974
"тоже" 0.125787409373638 0.148473569670714 0.0984581866934808 0.0814349251425111 0.127085911737588 0.110798062616734 0.076351773443465 0.114122681883024 0.0568470813511654 0.0552010124673506
"человек" 0.0960738481042748 0.189151259991458 0.07646220881515 0.0730826251278946 0.0814014336619847 0.0791414732976669 0.0867633789130284 0.140059655038257 0.0418873231008587 0.0915528987263376
"этот" 0.108949724654332 0.185083490959383 0.100553041729512 0.0772587751352029 0.05731325431303 0.0522333723764602 0.163115152356493 0.114122681883024 0.0598390330012267 0.0821283356221558
"потом" 0.166395943108435 0.129490647521034 0.11102731690967 0.135724875237519 0.0656195230540489 0.0348222482509734 0.107586589852155 0.101154195305408 0.107710259402208 0.0686646740447532
"конечно" 0.144605998177568 0.276608294181056 0.0649405061169767 0.0334092000584661 0.0390394630827886 0.0474848839786001 0.0173526757826057 0.0570613409415121 0.026927564850552 0.0255809569970649
"раз" 0.135691929796759 0.0820333421468329 0.0984581866934808 0.0897872251571276 0.132900299856302 0.0648960081040869 0.0798223085999861 0.116716379198548 0.110702211052269 0.0794356033066753
"тут" 0.217899449308664 0.0745757655880299 0.175967823026647 0.104403750182707 0.0822320605360866 0.0332394187850201 0.0277642812521691 0.0311243677862793 0.128653920952637 0.0390446185744675
"здесь" 0.0851788756388416 0.0827113036521786 0.0995056142114966 0.0939633751644359 0.0880464486547998 0.1187122099465 0.0902339140695495 0.129684865776164 0.107710259402208 0.152139375824649
"этого" 0.158472326769938 0.159998915261591 0.0816993464052288 0.0647303251132781 0.0589745080612338 0.0633131786381335 0.128409800791282 0.0674361302036052 0.0508631780510427 0.0713574063602337
"себе" 0.125787409373638 0.10305014881255 0.080651918887213 0.0709945501242405 0.0847239411583922 0.144037481401754 0.0867633789130284 0.121903773829594 0.0598390330012267 0.0888601664108571
"всегда" 0.169367299235371 0.119999186446194 0.0439919557566616 0.0647303251132781 0.0739257917950677 0.0538162018424135 0.117998195321719 0.14265335235378 0.140621727552883 0.0767428709911948
"этом" 0.101026108315835 0.214913797194595 0.0492290933467404 0.0396734250694285 0.0739257917950677 0.101301085821014 0.0832928437565073 0.046686551679419 0.0329114681506747 0.0592401109405714
"время" 0.143615546135256 0.137626185585182 0.068082788671024 0.0897872251571276 0.0739257917950677 0.0791414732976669 0.107586589852155 0.093373103358838 0.0329114681506747 0.0794356033066753
"всех" 0.141634642050632 0.0840672266628701 0.101600469247528 0.110667975193669 0.0822320605360866 0.101301085821014 0.0555285625043382 0.0570613409415121 0.110702211052269 0.0982847295150389
"после" 0.138663285923696 0.0861011111789073 0.0670353611530082 0.09605145016809 0.0697726574245583 0.0854727911614803 0.12146873047824 0.147840746984827 0.119678066002453 0.0928992648840779
"который" 0.0633889307079751 0.260337218052759 0.0293279705044411 0.031321125054812 0.0730951649209658 0.131374845674127 0.0659401679739016 0.0285306704707561 0.00598390330012267 0.0228882246815844
"почему" 0.132720573669823 0.132202493542417 0.0775096363331658 0.0772587751352029 0.0880464486547998 0.0838899616955269 0.052058027347817 0.0596550382570354 0.0508631780510427 0.0753965048334545
"просто" 0.138663285923696 0.162032799777629 0.0785570638511815 0.0730826251278946 0.0539907468166225 0.0443192250466935 0.131880335947803 0.0959668006743613 0.0388953714507974 0.0538546463096104
"том" 0.119844697119765 0.227117104290818 0.0628456510809452 0.0563780250986615 0.0622970155576414 0.0854727911614803 0.0347053515652114 0.0207495785241862 0.0239356132004907 0.0148100277351428
"е" 0.000990452042312111 0.00203388451603718 0.0157114127702363 0.00417615000730826 0.527448065054697 0.0126626357276267 0.0173526757826057 0.0492802489949423 0.0119678066002453 0.0067318307887013
"будет" 0.17828136761618 0.0698300350506098 0.101600469247528 0.0626422501096239 0.0797401799137809 0.0743929848998069 0.0312348164086902 0.119310076514071 0.0747987912515334 0.0605864770983117
"них" 0.0960738481042748 0.0515250744062752 0.112074744427686 0.106491825186361 0.0888770755289017 0.10921523315078 0.0694107031304227 0.103747892620931 0.104718307752147 0.0834747017798961
"тебя" 0.119844697119765 0.022372729676409 0.0911261940673705 0.0876991501534735 0.112965254877856 0.0823071322295736 0.0659401679739016 0.0752172221501751 0.0747987912515334 0.15752484045561
"при" 0.0950833960619627 0.117965301930156 0.0555136584548349 0.0772587751352029 0.105489613010939 0.110798062616734 0.0867633789130284 0.0492802489949423 0.0388953714507974 0.0511619139941298
"ещё" 0 0.165422607304357 0.283852857382269 0.246392850431187 0 0 0 0 0 0
"жизни" 0.0584366704964146 0.117287340424811 0.0460868107926931 0.0689064751205863 0.115457135500162 0.16144860552724 0.135350871104324 0.0544676436259888 0.0149597582503067 0.0215418585238441
"про" 0.12182560120439 0.118643263435502 0.107885034355623 0.0772587751352029 0.0672807768022527 0.0158282946595334 0.0867633789130284 0.0492802489949423 0.101726356102085 0.0323127877857662
"тогда" 0.128758765500574 0.0711859580613013 0.0995056142114966 0.0876991501534735 0.0606357618094376 0.0585646902402735 0.104116054695634 0.101154195305408 0.053855129701104 0.0605864770983117
"можно" 0.127768313458262 0.0962705337590932 0.0534188034188034 0.079346850138857 0.0714339111727621 0.131374845674127 0.0867633789130284 0.0544676436259888 0.0329114681506747 0.036351886258987
"тебе" 0.144605998177568 0.0183049606443346 0.0555136584548349 0.100227600175398 0.0971833442699205 0.0680616670359935 0.052058027347817 0.0778109194656983 0.071806839601472 0.145407545035948
"её" 0 0.187795336980766 0.188536953242836 0.315299325551774 0 0 0 0 0 0
"хотя" 0.123806505289014 0.103728110317896 0.0900787665493548 0.0835230001461652 0.0523294930684187 0.0696444965019469 0.0624696328173804 0.0778109194656983 0.0299195165006133 0.036351886258987
"миша" 0.492254665029119 0.00203388451603718 0 0 0 0.00158282946595334 0 0 0 0.122519320354364
"нам" 0.0376371776078602 0.0576267279543868 0.063893078598961 0.0229688250401954 0.142867822345524 0.098135426889107 0.0694107031304227 0.0985604979898846 0.110702211052269 0.0834747017798961
"вас" 0.062398478665663 0.042033613331435 0.0816993464052288 0.100227600175398 0.119610269870671 0.0490677134445535 0.0312348164086902 0.106341589936454 0.0837746462017174 0.0996310956727792
"один" 0.0693316429618478 0.105084033328588 0.0691302161890397 0.0981395251717442 0.0523294930684187 0.0617303491721802 0.100645519539113 0.0907794060433147 0.0568470813511654 0.0700110402024935
"больше" 0.117863793035141 0.0996603412858218 0.0544662309368192 0.0814349251425111 0.0697726574245583 0.102883915286967 0.0347053515652114 0.0440928543638957 0.0239356132004907 0.0430837170476883
"жизнь" 0.0762648072580326 0.119999186446194 0.0398022456845986 0.0897872251571276 0.0847239411583922 0.0807243027636202 0.117998195321719 0.0311243677862793 0.04487927475092 0.0201954923661039
"того" 0.0782457113426568 0.131524532037071 0.0649405061169767 0.0668184001169322 0.0631276424317432 0.0918041090252936 0.0589990976608593 0.0389054597328492 0.0388953714507974 0.0175027600506234
"ведь" 0.152529614516065 0.0874570341895987 0.11102731690967 0.0939633751644359 0.0481763586979093 0.0284909303871601 0.0381758867217325 0.018155881208663 0.0329114681506747 0.0201954923661039
"эти" 0.0812170674695931 0.136948224079837 0.0586559410088822 0.0584661001023157 0.050668239320215 0.0553990313083668 0.0937044492260707 0.0622487355725587 0.04487927475092 0.0323127877857662
"сам" 0.105978368527396 0.0840672266628701 0.101600469247528 0.079346850138857 0.0556520005648263 0.0569818607743202 0.0416464218782536 0.0518739463104656 0.0747987912515334 0.0296200554702857
"такой" 0.0940929440196506 0.160676876766937 0.063893078598961 0.048025725084045 0.0373782093345848 0.0490677134445535 0.0347053515652114 0.0207495785241862 0.0329114681506747 0.0296200554702857
"ней" 0.124796957331326 0.0562708049436953 0.0544662309368192 0.079346850138857 0.072264538046864 0.0553990313083668 0.052058027347817 0.0907794060433147 0.0478712264009814 0.067318307887013
"хорошо" 0.10795927261202 0.0589826509650782 0.0628456510809452 0.0626422501096239 0.050668239320215 0.0633131786381335 0.0381758867217325 0.127091168460641 0.104718307752147 0.0713574063602337
"тем" 0.0960738481042748 0.0874570341895987 0.0513239483827719 0.0626422501096239 0.0664501499281508 0.13295767514008 0.0624696328173804 0.0389054597328492 0.0149597582503067 0.0282736893125454
"вообще" 0.141634642050632 0.160676876766937 0.0188536953242836 0.031321125054812 0.0182737912302415 0.0522333723764602 0.0555285625043382 0.0622487355725587 0.008975854950184 0.0188491262083636
"ей" 0.150548710431441 0.0386438058047064 0.0492290933467404 0.0626422501096239 0.0921995830253092 0.0759758143657602 0.0451169570347748 0.0492802489949423 0.053855129701104 0.0403909847322078
"дело" 0.0752743552157205 0.0745757655880299 0.068082788671024 0.0563780250986615 0.0307331943417697 0.0680616670359935 0.0381758867217325 0.0907794060433147 0.26927564850552 0.0403909847322078
"сейчас" 0.14559645021988 0.0894909187056359 0.0471342383107089 0.0584661001023157 0.0307331943417697 0.0427363955807401 0.0485874921912959 0.0855920114122682 0.0299195165006133 0.0686646740447532
"люди" 0.0663602868349114 0.0759316885987214 0.0649405061169767 0.048025725084045 0.0838933142842904 0.0902212795593403 0.0208232109391268 0.0985604979898846 0.0688148879514107 0.0457764493631688
"сталин" 0.000990452042312111 0.00745757655880299 0 0.00208807500365413 0.0448538512015018 0.0110798062616734 0.0277642812521691 0.00259369731552328 0 0.574898349355091
"ним" 0.0742839031734083 0.064406343007844 0.0953159041394336 0.0459376500803909 0.05731325431303 0.0506505429105068 0.0416464218782536 0.0907794060433147 0.0658229363013494 0.0740501386757142
"чего" 0.0901311358504021 0.0386438058047064 0.143497569968158 0.0730826251278946 0.0365475824604829 0.0348222482509734 0.0555285625043382 0.0285306704707561 0.101726356102085 0.0740501386757142
"много" 0.0633889307079751 0.104406071823242 0.0523713759007877 0.0584661001023157 0.0639582693058451 0.0680616670359935 0.0867633789130284 0.0259369731552328 0.0658229363013494 0.030966421628026
"над" 0.0415989857771087 0.0738978040826842 0.0691302161890397 0.0396734250694285 0.0556520005648263 0.0664788375700402 0.0659401679739016 0.0907794060433147 0.0777907429015947 0.0928992648840779
"всего" 0.0871597797234658 0.123388993972922 0.0576085134908664 0.0459376500803909 0.0323944480899735 0.0712273259679002 0.0381758867217325 0.0233432758397095 0.035903419800736 0.036351886258987
"через" 0.0475416980309813 0.0501691513955838 0.0816993464052288 0.0605541751059698 0.072264538046864 0.0648960081040869 0.0589990976608593 0.0440928543638957 0.104718307752147 0.0848210679376363
"им" 0.0742839031734083 0.056948766449041 0.072272498743087 0.0876991501534735 0.0614663886835395 0.0664788375700402 0.0589990976608593 0.0674361302036052 0.0688148879514107 0.0484691816786493
"об" 0.062398478665663 0.118643263435502 0.0377073906485671 0.0292330500511578 0.0872158217806979 0.0648960081040869 0.0347053515652114 0.0129684865776164 0.0239356132004907 0.0336591539435065
"этой" 0.0841884235965294 0.127456763004997 0.0398022456845986 0.0605541751059698 0.035716955586381 0.0395707366488335 0.0659401679739016 0.0414991570483725 0.0299195165006133 0.036351886258987
"своей" 0.0455607939463571 0.0732198425773385 0.0356125356125356 0.0668184001169322 0.0880464486547998 0.0965525974231536 0.0451169570347748 0.0674361302036052 0.0418873231008587 0.0430837170476883
"которые" 0.0386276296501723 0.130168609026379 0.0366599631305514 0.0354972750621202 0.0697726574245583 0.12346069834436 0.0381758867217325 0.0129684865776164 0.00598390330012267 0.0107709292619221
"лет" 0.0475416980309813 0.0650843045131897 0.0659879336349925 0.114844125200977 0.0514988661943169 0.0696444965019469 0.0555285625043382 0.0726235248346518 0.053855129701104 0.0525082801518701
"никогда" 0.127768313458262 0.0413556518260893 0.0607507960449137 0.0584661001023157 0.0523294930684187 0.0553990313083668 0.0451169570347748 0.0674361302036052 0.0299195165006133 0.0538546463096104
"мой" 0.0207994928885543 0.0711859580613013 0.0418971007206301 0.048025725084045 0.0656195230540489 0.0300737598531134 0.0381758867217325 0.127091168460641 0.0777907429015947 0.113094757250182
"вам" 0.0435798898617329 0.0698300350506098 0.072272498743087 0.0814349251425111 0.0755870455432715 0.0364050777169268 0.0138821406260845 0.0389054597328492 0.0927505011519014 0.0498155478363896
"стал" 0.0524939582425419 0.0467793438688551 0.0418971007206301 0.0626422501096239 0.0830626874101885 0.0601475197062269 0.0728812382869438 0.0622487355725587 0.026927564850552 0.0969383633572986
"вдруг" 0.0901311358504021 0.0216947681710632 0.105790179319591 0.0730826251278946 0.0531601199425206 0.0332394187850201 0.0312348164086902 0.0881857087277915 0.0568470813511654 0.0552010124673506
"р" 0 0.00813553806414872 0 0 0.352185794619199 0 0.0138821406260845 0.018155881208663 0 0
"россии" 0.0188185888039301 0.0671181890292269 0.0146639852522205 0.0125284500219248 0.0838933142842904 0.216847636835607 0.0451169570347748 0.00259369731552328 0.116686114352392 0.0161563938928831
"два" 0.053484410284854 0.0610165354811154 0.0628456510809452 0.0626422501096239 0.0323944480899735 0.0284909303871601 0.0589990976608593 0.0778109194656983 0.071806839601472 0.103670194146
"какой" 0.0673507388772236 0.071863919566647 0.084841628959276 0.0856110751498194 0.0523294930684187 0.0443192250466935 0.0347053515652114 0.018155881208663 0.0119678066002453 0.0376982524167273
"эта" 0.0752743552157205 0.132202493542417 0.0398022456845986 0.0229688250401954 0.0348863287122792 0.0300737598531134 0.0242937460956479 0.0337180651018026 0.0239356132004907 0.036351886258987
"три" 0.0515035062002298 0.0501691513955838 0.0712250712250712 0.0626422501096239 0.0340557018381773 0.0253252714552534 0.0347053515652114 0.103747892620931 0.071806839601472 0.0915528987263376
"кажется" 0.0524939582425419 0.137626185585182 0.0523713759007877 0.0542899500950074 0.0299025674676679 0.0332394187850201 0.0208232109391268 0.0103747892620931 0.008975854950184 0.0215418585238441
"сказать" 0.098054752188899 0.102372187307205 0.0418971007206301 0.0459376500803909 0.0332250749640754 0.0364050777169268 0.0381758867217325 0.0285306704707561 0.00598390330012267 0.0215418585238441
"тот" 0.053484410284854 0.0562708049436953 0.0659879336349925 0.0542899500950074 0.0531601199425206 0.0553990313083668 0.0694107031304227 0.046686551679419 0.0658229363013494 0.0336591539435065
"людей" 0.0366467255655481 0.0677961505345726 0.0576085134908664 0.0334092000584661 0.0747564186691696 0.0759758143657602 0.0485874921912959 0.0518739463104656 0.0209436615504293 0.0296200554702857
"свою" 0.0346658214809239 0.0549148819330038 0.0356125356125356 0.0334092000584661 0.0631276424317432 0.0553990313083668 0.0937044492260707 0.0700298275191285 0.0957424528019627 0.0592401109405714
